year,soe,arrivals,arrivals_male,arrivals_female
2024,Johor,9935510,5431337,4504173
2024,Kedah,545741,294646,251095
2024,Kelantan,336325,170187,166138
2024,Melaka,23987,10880,13107
2024,Negeri Sembilan,36289,22083,14206
2024,Pahang,5425,2969,2456
2024,Perak,114713,53559,61154
2024,Perlis,336704,192962,143742
2024,Pulau Pinang,607978,281600,326378
2024,Sabah,333854,147718,186136
2024,Sarawak,1226087,654849,571238
2024,Selangor,4757639,2598074,2159565
2024,Terengganu,82,51,31
2024,W.P. Labuan,11178,7007,4171
